Algorithm,Erlang,Total Volume,Regenerator Usage Percentage,Regenerator Blockage Percentage,Link Length,BPSK,QPSK,QAM8,QAM16,QAM32,QAM64,,BPSK,QPSK,QAM8,QAM16,QAM32,QAM64
AMRA,300,1.19E+07,43.94546597,0,816.6112366,49882,75979,3091,0,0,0,,38.68261058,58.92037347,2.397015944,0,0,0
AMRA,400,1.19E+07,46.8735849,0,761.2423623,30266,85239,13402,45,0,0,,23.47074881,66.10134003,10.39301445,0.034896706,0,0
AMRA,500,1.19E+07,51.23942048,0,708.2558523,19974,76642,31563,771,2,0,,15.48948446,59.43451827,24.47654941,0.597896892,0.001550965,0
AMRA,600,1.19E+07,55.12568208,0,680.1296963,14185,61047,48882,4788,50,0,,11.00021714,47.34087102,37.90712823,3.713009492,0.038774118,0
AMRA,700,1.19E+07,60.55552495,0,651.8171606,10442,48657,55326,13916,611,0,,8.097586699,37.73264471,42.9043365,10.79161238,0.473819716,0
AMRA,800,1.19E+07,68.91929611,0.003202945,625.8623077,7605,39188,55364,23698,3038,54,,5.897771953,30.39078071,42.93546961,18.37809333,2.356006731,0.041877671
AMRA,900,1.19E+07,80.4154668,0.025286411,619.3504295,4995,29106,52891,33703,8048,166,,3.874826428,22.57871832,41.02971864,26.14479982,6.243163782,0.12877301
AMRA,1000,1.19E+07,103.5152951,3.315301313,793.8072614,4007,18679,49037,35026,10062,547,,3.414339031,15.91625624,41.78411357,29.84543022,8.573765742,0.466095196
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
SPF,300,1.19E+07,58.56515595,0,388.630317,0,128952,0,0,0,0,,0,100,0,0,0,0
SPF,400,1.19E+07,65.04727756,0,388.630317,0,128952,0,0,0,0,,0,100,0,0,0,0
SPF,500,1.19E+07,71.53080046,0,388.630317,0,128952,0,0,0,0,,0,100,0,0,0,0
SPF,600,1.19E+07,56.83045455,40.38644379,401.9492162,0,73748,0,0,0,0,,0,100,0,0,0,0
SPF,700,1.19E+07,47.79087721,53.62092973,416.386446,0,55665,0,0,0,0,,0,100,0,0,0,0
SPF,800,1.19E+07,46.31735674,55.94803811,421.6654077,0,52585,0,0,0,0,,0,100,0,0,0,0
SPF,900,1.19E+07,44.56290115,58.03231266,427.7395143,0,49715,0,0,0,0,,0,100,0,0,0,0
SPF,1000,1.19E+07,43.93982629,58.89761364,430.9245747,0,48544,0,0,0,0,,0,100,0,0,0,0
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
AMRDA 4.0,300,1.19E+07,34.30732595,0,869.5743082,46490,77435,5027,0,0,0,,36.05217445,60.04947577,3.898349774,0,0,0
AMRDA 4.0,400,1.19E+07,39.55209665,0,785.634909,28775,81911,17982,284,0,0,,22.31450462,63.52053477,13.94472362,0.220236987,0,0
AMRDA 4.0,500,1.19E+07,45.16140038,0,727.3043164,18530,71083,37246,2080,13,0,,14.36968795,55.12361189,28.88361561,1.613003288,0.010081271,0
AMRDA 4.0,600,1.19E+07,50.55508549,0,681.2882555,13521,55622,52473,6992,342,2,,10.48529685,43.13387927,40.69188535,5.422172591,0.265214964,0.001550965
