Algorithm,Erlang,Total Volume,Regenerator Usage Percentage,Regenerator Blockage Percentage,Link Length,BPSK,QPSK,QAM8,QAM16,QAM32,QAM64,,BPSK,QPSK,QAM8,QAM16,QAM32,QAM64
SPF,300,1.19E+07,65.7628599,0,576.9253542,0,128952,0,0,0,0,,0,100,0,0,0,0
SPF,400,1.19E+07,71.06334068,0,576.9253542,0,128952,0,0,0,0,,0,100,0,0,0,0
SPF,500,1.19E+07,76.36093283,0,576.9253542,0,128952,0,0,0,0,,0,100,0,0,0,0
SPF,600,1.19E+07,83.699403,0,576.9200364,0,128952,0,0,0,0,,0,100,0,0,0,0
SPF,700,1.19E+07,62.30581442,41.22266539,569.0769633,0,71884,0,0,0,0,,0,100,0,0,0,0
SPF,800,1.19E+07,57.70173313,48.42558378,563.3729199,0,62104,0,0,0,0,,0,100,0,0,0,0
SPF,900,1.19E+07,56.14046845,50.69310052,559.657102,0,59065,0,0,0,0,,0,100,0,0,0,0
SPF,1000,1.19E+07,55.23398004,51.85560111,555.436012,0,57479,0,0,0,0,,0,100,0,0,0,0
AMRA,300,1.19E+07,57.30990574,0,1086.935704,57547,70116,1289,0,0,0,,44.6266828,54.37372045,0.999596749,0,0,0
AMRA,400,1.19E+07,59.81585364,0,1049.110108,31621,90083,7247,1,0,0,,24.52152739,69.85777654,5.619920591,0.000775482,0,0
AMRA,500,1.19E+07,62.40128448,0,1018.477251,17633,93479,17788,52,0,0,,13.67408028,72.4913146,13.79428004,0.040325082,0,0
AMRA,600,1.19E+07,66.09807397,0,958.5257161,12576,76452,39303,619,2,0,,9.752466034,59.28717662,30.4787828,0.480023575,0.001550965,0
AMRA,700,1.19E+07,69.76900809,0,922.357245,10545,54671,59670,4064,2,0,,8.177461381,42.39639556,46.27303183,3.15156027,0.001550965,0
AMRA,800,1.19E+07,74.05413314,0,887.6983751,8652,41547,66650,11921,182,0,,6.709473292,32.2189652,51.68589863,9.244525095,0.141137788,0
AMRA,900,1.19E+07,78.11370905,0,863.4877699,7587,29726,69086,21528,1025,0,,5.88358459,23.05198834,53.57497363,16.69458403,0.794869409,0
AMRA,1000,1.19E+07,83.26401787,0,834.208421,6741,22804,63196,33684,2526,1,,5.227526521,17.68409951,49.00738259,26.12134748,1.958868416,0.000775482
AMRDA-P,300,1.19E+07,57.10841826,0,1069.271156,57472,70057,1423,0,0,0,,44.56852162,54.327967,1.103511384,0,0,0
AMRDA-P,400,1.19E+07,59.71382224,0,1017.237964,32833,87897,8219,3,0,0,,25.461412,68.16257212,6.373689435,0.002326447,0,0
AMRDA-P,500,1.19E+07,62.56242937,0,973.6701384,20209,88070,20478,195,0,0,,15.67172281,68.29673057,15.88032756,0.151219058,0,0
AMRDA-P,600,1.19E+07,66.38988804,0,918.8667412,14570,73962,39256,1161,3,0,,11.29877784,57.35622557,30.44233513,0.900335008,0.002326447,0
AMRDA-P,700,1.19E+07,70.29028878,0,882.6611813,11460,55242,56971,5239,40,0,,8.887027731,42.83919598,44.18000496,4.062752032,0.031019294,0
AMRDA-P,800,1.19E+07,74.73992057,0,845.6372039,9285,41723,64473,13068,403,0,,7.20035362,32.35545009,49.99767355,10.13400335,0.312519387,0
AMRDA-P,900,1.19E+07,79.02749445,0,816.4141119,7764,33760,63063,22440,1913,12,,6.020844966,26.18028414,48.90424344,17.40182393,1.483497736,0.009305788
AMRDA-P,1000,1.19E+07,98.30884138,10.97607231,875.0148976,7684,24904,47297,28103,6802,800,,6.647633878,21.54511636,40.91789947,24.3126568,5.884592093,0.692101393
AMRDA-L,300,1.19E+07,45.40610929,0,1155.653887,49783,77263,1906,0,0,0,,38.60583783,59.91609281,1.478069359,0,0,0
AMRDA-L,400,1.19E+07,49.61947399,0,1098.988628,25595,94463,8885,9,0,0,,19.84847075,73.25438923,6.89016068,0.006979341,0,0
AMRDA-L,500,1.19E+07,53.76122991,0,1041.113047,14107,91078,23602,165,0,0,,10.93972951,70.62938148,18.30293443,0.127954588,0,0
AMRDA-L,600,1.19E+07,58.98228362,0,968.6490482,10057,70024,47263,1605,3,0,,7.799025994,54.30237608,36.65162231,1.244649172,0.002326447,0
AMRDA-L,700,1.19E+07,63.98460774,0,929.6155136,8183,52204,61944,6570,51,0,,6.34577207,40.4832806,48.03647869,5.09491904,0.0395496,0
AMRDA-L,800,1.19E+07,69.32038581,0,893.6603244,7015,39175,67780,14460,519,3,,5.440008685,30.37952106,52.56219368,11.21347478,0.40247534,0.002326447
AMRDA-L,900,1.19E+07,77.91959555,0,851.3175938,6022,28874,66130,26157,1762,7,,4.669954712,22.39127737,51.28264781,20.28429183,1.366399901,0.005428376
AMRDA-L,1000,1.19E+07,91.74265204,10.67684979,874.4633236,5302,17157,43616,36726,8787,1413,,4.691993876,15.18305148,38.59788851,32.50059734,7.77603738,1.250431412
